date,open,high,low,close,volume
2006-06-22,591.5,598.3,584.5,585.4,42920.0
2006-06-23,584.2,589.0,574.5,588.0,33710.0
2006-06-26,587.4,590.2,580.0,587.7,24000.0
2006-06-27,587.6,599.0,583.7,584.4,47780.0
2006-06-28,584.8,589.5,579.1,581.0,34320.0
2006-06-29,581.1,595.0,581.0,588.9,37710.0
2006-06-30,589.5,618.0,587.8,616.0,58020.0
2006-07-05,627.0,632.5,619.5,629.7,46710.0
2006-07-06,629.3,637.0,623.9,636.3,41860.0
2006-07-07,636.1,639.5,629.5,634.8,37800.0
2006-07-10,631.9,634.7,621.8,626.1,37440.0
2006-07-11,625.5,644.0,623.1,642.9,52100.0
2006-07-12,642.0,657.0,640.8,651.2,1470.0
2006-07-13,649.0,656.5,646.0,654.4,59720.0
2006-07-14,655.1,669.0,655.1,668.0,59320.0
2006-07-17,668.3,677.5,646.0,651.9,53970.0
2006-07-18,651.3,655.5,629.0,629.5,64970.0
2006-07-19,631.0,647.5,618.9,642.8,61910.0
2006-07-20,643.1,646.5,629.6,632.5,41700.0
2006-07-21,632.9,638.0,616.0,620.2,67470.0
2006-07-24,620.9,623.3,602.5,613.2,79990.0
2006-07-25,612.6,624.2,610.0,618.0,74530.0
2006-07-26,618.0,622.5,613.0,621.9,79190.0
2006-07-27,621.7,641.0,621.6,632.5,66410.0
2006-07-28,646.0,649.9,638.0,647.8,48920.0
2006-07-31,647.2,651.5,640.5,646.8,22950.0
2006-08-01,646.5,659.3,642.2,658.8,41110.0
2006-08-02,658.5,668.2,657.0,664.1,36870.0
2006-08-03,664.0,664.6,650.5,657.0,31860.0
2006-08-04,657.5,666.0,655.0,656.0,32180.0
2006-08-07,655.8,663.5,655.8,659.5,20480.0
2006-08-08,659.0,660.8,652.3,657.3,21050.0
2006-08-09,657.0,666.5,646.3,662.0,38510.0
2006-08-10,663.0,665.1,645.5,646.0,46890.0
2006-08-11,645.7,655.7,636.5,644.4,45750.0
2006-08-14,643.6,643.6,634.1,639.3,33220.0
2006-08-15,637.4,638.3,630.5,632.9,36100.0
2006-08-16,632.9,643.0,632.1,639.0,30890.0
2006-08-17,638.4,642.0,623.5,625.3,43980.0
2006-08-18,625.0,628.8,616.5,621.7,37750.0
2006-08-21,624.5,636.5,621.6,635.2,26440.0
2006-08-22,636.0,639.2,629.5,634.0,25230.0
2006-08-23,633.0,639.8,630.5,633.0,31940.0
2006-08-24,632.8,635.5,627.5,628.5,26990.0
2006-08-25,629.3,633.5,626.8,630.8,16630.0
2006-08-28,631.9,632.7,621.0,623.9,24710.0
2006-08-29,623.4,626.3,615.5,619.1,32060.000000000004
2006-08-30,619.7,629.7,619.5,626.1,29920.0
2006-08-31,626.6,635.0,626.0,634.2,30180.0
2006-09-01,633.6,634.5,632.1,632.6,17210.0
2006-09-05,635.5,648.7,634.1,646.9,46940.0
2006-09-06,646.9,648.5,641.0,641.8,28320.0
2006-09-07,641.0,644.0,621.0,624.9,58720.0
2006-09-08,625.7,626.7,612.0,617.3,44170.0
2006-09-11,617.7,619.0,589.6,597.3,59000.0
2006-09-12,597.6,607.0,591.5,594.3,45260.0
2006-09-13,593.2,600.5,585.6,596.3,38210.0
2006-09-14,596.2,601.8,584.0,586.0,50290.0
2006-09-15,585.5,588.5,576.5,583.0,38620.0
2006-09-18,586.0,594.4,583.0,592.8,28320.0
2006-09-19,593.7,597.6,583.0,583.2,30320.0
2006-09-20,582.6,592.5,578.3,586.2,32369.999999999996
2006-09-21,586.5,590.8,579.9,588.3,33690.0
2006-09-22,589.5,598.2,586.5,595.4,28530.0
2006-09-25,595.5,597.0,587.5,595.9,27490.0
2006-09-26,595.7,599.5,591.6,597.1,30990.0
2006-09-27,596.1,604.8,595.4,603.3,41110.0
2006-09-28,604.5,612.4,604.0,610.9,47150.0
2006-09-29,605.7,611.5,599.5,604.2,34710.0
2006-10-02,606.2,609.5,602.0,603.3,20540.0
2006-10-03,602.9,605.3,580.5,581.5,47120.0
2006-10-04,584.5,585.7,563.0,566.7,65099.99999999999
2006-10-05,575.5,578.8,567.0,575.5,39770.0
2006-10-06,573.5,578.5,564.5,576.8,34720.0
2006-10-09,580.0,586.0,572.5,582.8,19900.0
2006-10-10,582.6,585.5,573.0,576.2,24200.0
2006-10-11,576.4,583.4,574.5,576.5,25110.0
2006-10-12,576.6,583.0,574.5,580.3,25060.0
2006-10-13,588.6,594.5,579.4,592.7,35040.0
2006-10-16,595.5,599.5,592.5,598.5,24250.0
2006-10-17,599.2,601.6,588.5,593.5,34880.0
2006-10-18,596.5,598.8,591.7,592.6,24850.0
2006-10-19,592.5,604.5,589.2,602.5,43640.0
2006-10-20,601.8,606.0,594.5,596.4,23830.0
2006-10-23,588.5,596.4,582.5,582.9,32659.999999999996
2006-10-24,583.5,589.0,576.0,587.6,36370.0
2006-10-25,587.2,594.5,582.5,590.8,31450.0
2006-10-26,590.5,601.8,589.8,599.8,34610.0
2006-10-27,599.1,603.0,594.5,601.0,25380.0
2006-10-30,602.6,613.2,601.0,607.4,46190.0
2006-10-31,606.5,609.3,600.5,606.8,44440.0
2006-11-01,607.5,619.8,607.5,619.3,57420.0
2006-11-02,620.4,628.3,616.5,627.8,49630.0
2006-11-03,627.0,631.4,619.5,629.2,42870.0
2006-11-06,628.7,632.2,624.5,627.9,23650.0
