date,open,high,low,close,volume
2019-09-24,3002.4,3008.0,2957.7,2966.6,
2019-09-25,2968.4,2989.8,2952.9,2984.9,
2019-09-26,2985.7,2987.3,2963.7,2977.6,
2019-09-27,2985.5,2987.3,2945.5,2961.8,
2019-09-30,2967.1,2983.9,2967.1,2976.7,
2019-10-01,2983.7,2992.5,2938.7,2940.3,
2019-10-02,2924.8,2924.8,2874.9,2887.6,
2019-10-03,2885.4,2911.1,2855.9,2910.6,
2019-10-04,2918.6,2953.7,2918.6,2952.0,
2019-10-07,2944.2,2959.8,2935.7,2938.8,
2019-10-08,2920.4,2925.5,2892.7,2893.1,
2019-10-09,2911.1,2929.3,2907.4,2919.4,
2019-10-10,2918.6,2948.5,2917.1,2938.1,
2019-10-11,2963.1,2993.3,2963.1,2970.3,
2019-10-14,2965.8,2972.8,2962.9,2966.1,
2019-10-15,2973.6,3003.3,2973.6,2995.7,
2019-10-16,2989.7,2997.5,2985.2,2989.7,
2019-10-17,3000.8,3008.3,2991.8,2997.9,
2019-10-18,2996.8,3000.0,2976.3,2986.2,
2019-10-21,2996.5,3007.3,2995.4,3006.7,
2019-10-22,3010.7,3014.6,2995.0,2996.0,
2019-10-23,2994.0,3004.8,2991.2,3004.5,
2019-10-24,3014.8,3016.1,3000.4,3010.3,
2019-10-25,3003.3,3027.4,3001.9,3022.6,
2019-10-28,3032.1,3044.1,3032.1,3039.4,
2019-10-29,3035.4,3047.9,3034.8,3036.9,
2019-10-30,3039.7,3050.1,3026.0,3046.8,
2019-10-31,3046.9,3046.9,3023.2,3037.6,
2019-11-01,3050.7,3066.9,3050.7,3066.9,
2019-11-04,3079.0,3085.2,3074.9,3078.3,
2019-11-05,3080.8,3083.9,3072.1,3074.6,
2019-11-06,3075.1,3078.3,3065.9,3076.8,
2019-11-07,3087.0,3097.8,3080.2,3085.2,
2019-11-08,3081.3,3093.1,3073.6,3093.1,
2019-11-11,3080.3,3088.3,3075.8,3087.0,
2019-11-12,3089.3,3102.6,3084.7,3091.8,
2019-11-13,3084.2,3098.1,3078.8,3094.0,
2019-11-14,3090.8,3098.2,3083.3,3096.6,
2019-11-15,3107.9,3120.5,3104.6,3120.5,
2019-11-18,3117.9,3124.2,3112.1,3122.0,
2019-11-19,3127.4,3127.6,3113.5,3120.2,
2019-11-20,3114.7,3119.0,3091.4,3108.5,
2019-11-21,3108.5,3110.1,3094.6,3103.5,
2019-11-22,3111.4,3112.9,3099.3,3110.3,
2019-11-25,3117.4,3133.8,3117.4,3133.6,
2019-11-26,3134.9,3142.7,3131.0,3140.5,
2019-11-27,3145.5,3154.3,3143.4,3153.6,
2019-11-28,3144.6,3151.6,3142.0,3151.1,
2019-11-29,3147.2,3150.3,3139.3,3141.0,
2019-12-02,3143.9,3144.3,3110.8,3113.9,
2019-12-03,3087.4,3095.0,3070.3,3093.2,
2019-12-04,3103.5,3119.4,3102.5,3112.8,
