date,open,high,low,close,volume
2008-04-01,1806.2,1855.5,1805.8,1855.5,414510000.0
2008-04-02,1855.9,1870.6,1836.6,1848.8,365800000.0
2008-04-03,1842.7,1866.6,1836.0,1855.2,360250000.0
2008-04-04,1859.9,1884.1,1846.6,1865.9,327820000.0
2008-04-07,1878.3,1885.9,1856.6,1860.8,302510000.0
2008-04-08,1853.4,1858.7,1837.5,1846.1,311950000.0
2008-04-09,1848.4,1849.2,1815.1,1826.2,345110000.0
2008-04-10,1827.0,1863.2,1827.0,1853.0,407770000.0
2008-04-11,1832.1,1833.1,1794.8,1798.7,350300000.0
2008-04-14,1796.8,1807.8,1788.0,1790.9,265200000.0
2008-04-15,1799.5,1802.7,1776.6,1794.7,295800000.0
2008-04-16,1817.6,1849.4,1815.8,1846.9,384100000.0
2008-04-17,1846.8,1848.3,1829.9,1840.9,308760000.0
2008-04-18,1889.2,1908.0,1879.9,1900.3,436870000.0
2008-04-21,1893.0,1914.2,1890.8,1913.1,296840000.0
2008-04-22,1901.3,1901.7,1867.7,1881.7,365660000.0
2008-04-23,1897.6,1913.6,1888.7,1906.7,423730000.0
2008-04-24,1908.1,1943.0,1886.9,1924.6,461530000.0
2008-04-25,1922.9,1925.0,1894.1,1918.6,372710000.0
2008-04-28,1920.5,1936.1,1917.0,1923.3,295540000.0
2008-04-29,1917.8,1941.9,1914.3,1933.6,313150000.0
2008-04-30,1939.1,1953.6,1912.8,1917.7,415440000.0
2008-05-01,1921.9,1980.4,1921.1,1980.4,442570000.0
2008-05-02,1996.3,1996.5,1965.8,1981.9,410210000.0
2008-05-05,1980.8,1992.7,1967.8,1975.8,414010000.0
2008-05-06,1968.6,1996.8,1957.6,1990.6,410170000.0
2008-05-07,1987.4,2000.7,1946.3,1951.4,413610000.0
2008-05-08,1960.7,1979.1,1954.4,1966.9,363440000.0
2008-05-09,1950.6,1969.4,1947.6,1960.3,273430000.0
2008-05-12,1969.5,1998.9,1959.5,1997.0,301920000.0
2008-05-13,1997.6,2004.5,1982.0,2000.6,350800000.0
2008-05-14,2008.5,2028.7,1993.9,1997.3,359150000.0
2008-05-15,1995.4,2032.4,1991.2,2031.3,368110000.0
2008-05-16,2033.9,2035.8,2009.9,2031.3,442260000.0
2008-05-19,2031.8,2050.8,2005.3,2016.6,365540000.0
2008-05-20,2008.5,2010.2,1987.5,2000.7,352290000.0
2008-05-21,2005.3,2015.2,1952.8,1956.8,372710000.0
2008-05-22,1962.6,1978.1,1955.6,1964.9,323550000.0
2008-05-23,1959.7,1964.7,1943.8,1959.0,314790000.0
2008-05-27,1965.0,1995.4,1963.1,1995.4,324280000.0
2008-05-28,2002.8,2004.7,1981.3,2000.1,326760000.0
2008-05-29,2001.8,2030.2,2001.8,2019.0,343380000.0
2008-05-30,2028.3,2041.0,2022.2,2032.6,381120000.0
