date,open,high,low,close
2015-06-01,113.58712946187597,113.38844004085657,114.23313123949478,114.08691283150823
2015-06-02,112.59972948325552,112.5192372223064,113.42919342051708,113.32937573030702
2015-06-03,111.55776114382309,111.51351677119524,112.71152937821361,112.46807247475668
2015-06-04,113.40771575378741,112.81860830361589,113.9938021401119,112.93593965625166
2015-06-05,111.20508629695232,111.1874276885685,112.32900070085188,112.03245213900163
2015-06-08,112.55357510187451,112.13091466485086,112.5716313423657,112.27444223562186
2015-06-09,111.25490372878251,110.95440589538735,111.79813186673624,111.73552491289087
2015-06-10,110.87211808451914,110.87211808451914,111.42244002201335,111.3422158651975
2015-06-11,113.1282146526531,112.24157317504915,113.35664574596676,112.27749047846515
2015-06-12,112.14282213069791,111.69625147869608,112.34044645678533,112.19665068532065
2015-06-15,112.3670396520716,112.04463482004206,112.61006352828161,112.46592264696542
2015-06-16,113.3145857864705,112.90671853639923,113.3509833086054,112.92478361136504
2015-06-17,112.72621073633906,112.68117789408261,113.57957820104195,112.82540980178703
2015-06-18,112.39333547032973,112.04470426987297,113.12439306071732,112.69904534280903
2015-06-19,113.9497464491466,113.3300085655553,113.9497464491466,113.35720776761104
2015-06-22,111.54716655683175,111.48517130745519,112.3684165026727,112.33245860939185
2015-06-23,111.61582410470672,111.50911681588771,112.10752377036623,111.97299474184179
2015-06-24,112.5834464088381,112.26841437939221,112.7280506588615,112.34026616459502
2015-06-25,111.57026035522584,111.56136887767123,112.08840232821032,111.9897645341615
2015-06-26,110.80492333751496,110.72565113480927,111.56817711460957,111.43429530207204
2015-06-29,112.51082621876274,112.41210102026191,113.47114086399898,112.73584787120026
2015-06-30,112.33974651319235,112.19639888226396,112.80816659327303,112.54645164677663
2015-07-01,111.36307331179381,111.15058215584824,111.99647699721696,111.84416178850074
2015-07-02,112.598348959588,112.01386623459413,112.9701701827954,112.21101063916701
2015-07-06,112.92824304977212,112.92824304977212,113.58163693434169,113.07279120087583
2015-07-07,113.7625361347603,112.75795049347482,113.94544880641358,113.38939501623828
2015-07-08,114.45575296309944,113.7244647084035,114.45575296309944,113.91552180911361
2015-07-09,111.74914104570733,111.60764165850162,112.89418507819616,112.82193279974612
2015-07-10,111.60840711032172,111.4663099897866,112.24335878538848,112.06376941133185
2015-07-13,111.14462876398615,111.02969119546084,111.87514011046314,111.66033984145105
2015-07-14,112.54824133898548,112.01739584861852,112.57536793366829,112.09804837362954
2015-07-15,112.77247109366981,112.36684714680584,113.15370449562845,112.46572997229502
2015-07-16,112.62791416869794,112.30401219473461,112.84488879865852,112.46572997229502
2015-07-17,112.67289894469315,112.41181112452566,112.79033241589342,112.54670529787509
2015-07-18,112.54670529787509,112.54670529787509,112.54670529787509,112.54670529787509
2015-07-20,112.07026956458536,111.90937748832421,112.39344560626472,112.2495819958887
2015-07-21,113.06043859590714,112.65355122092187,113.34245288593556,112.68960035731257
2015-07-22,112.761744787759,112.5006597100069,112.86109434263808,112.72566102942692
2015-07-23,113.75834548437345,113.23964892468946,113.92313304422525,113.24870809660345
2015-07-24,113.43009467159601,113.24870809660345,113.5301051750737,113.31212737313756
2015-07-27,114.14918500268055,113.67455221680662,114.18585943962921,113.7291160018707
2015-07-28,113.15724799100646,113.13918762104541,113.56513618065684,113.4197728063456
2015-07-29,112.79519464803452,112.7322157565504,113.13831163463597,113.0659031151898
2015-07-30,113.70100287590742,113.3372178723051,113.94788080736295,113.35535182716467
2015-07-31,114.6320814535366,113.94456397180807,114.90015099326344,113.99014179739679
2015-08-03,114.7866994147762,114.22703282822825,114.86973777943604,114.32755261711709
